Name,Year of Incorporation,Employee Range,Investment Stage,Sector Labels,Tags,Website,Notes
"NFT11 - The most beautiful game, now on the blockchain!",2021,1 - 10,Seed,Gaming; AI; E-Commerce; Fintech; Blockchain,"Cryptocurrency; blockchain, PlaytoEarn, GameFi, ; AR/VR; Gamification; Investing",https://nft11.io/,
OMCOM PTE. LTD.,2021,1 - 10,Pre-seed,E-Commerce; SaaS; Data Analysis,conversational commerce; E-Commerce; SaaS,https://omcom.io/,
IPORT PTE LTD,2017,,Pre-seed,Supply Chain & Logistics,,,no webpage found
LIFECO TECHNOLOGY (SINGAPORE) PTE. LTD.,2016,,Pre-seed,Agritech; Healthcare; Lifestyle; Others,,,no webpage found
KINNVA (PRIVATE) LIMITED,2018,1 - 10,Seed,Food Science and Technology; Agritech; Biotech; Urban Solutions; Food Manufacturing & Processing,Alternative Protein; Functional Feed Additive; Microbe-Assisted Crop Solution; Fertilisers; Organic Farming; Microbiology; Cleaning Technology,https://www.kinnva.com/,
SpeQtral PTE. LTD.,2017,,Pre-seed,Infocomm Tech; Others,,https://www.speqtral.space,
XCM SECURITY PTE. LTD,2018,,Pre-seed,Infotech; Hardware,,,
PROTEGE VENTURES PTE LTD,2017,,Pre-seed,Others,,https://protege.vc,based on internet checks
Senquire Pte. Ltd.,2017,1 - 10,Pre-series A,AI; Manufacturing & Engineering; Data Analysis,Video Processing,https://www.senquire.com,
Shopavision Pte Ltd,2018,,Pre-seed,Retail; Food & Beverage; Infocomm Tech,,https://shopavision.com/,based on internet checks
Nervotec Pte Ltd,2020,,Pre-seed,AI; Healthcare; Data Analysis,,https://nervotec.com,based on internet checks
Clockster PTE LTD,2018,,Pre-seed,Infotech; Enterprise Solutions,,https://www.clockster.com/en/about,based on internet checks
Morpheus Labs Pte Ltd,2017,,Pre-seed,Infotech; Blockchain,,,
Assemblr Pte Ltd,2018,,Pre-seed,Enterprise Solutions,,,
3E Memtech Pte Ltd,2018,,Pre-seed,Urban Solutions,,,
KARYA KARSA PTE. LTD. ,2020,,Pre-seed,Entertainment,,https://karyakarsa.com,based on internet checks
Nitex Pte Ltd,2019,,Pre-seed,Lifestyle,,https://nitex.com/,based on internet checks
Jolly Companion Limited,2017,,Pre-seed,Healthcare,,,
HonesTrades,2018,,Pre-seed,Infotech,,https://www.honestrades.com/,based on internet checks
Torre AI Pte Ltd,2019,,Pre-seed,Infocomm Tech; Others,,,
Zero-Error System Pte Ltd (ZES),2019,1 - 10,Pre-seed,Semiconductor; Aerospace; Industrial Electronics; IoT; Hardware,Satellite Communications; Semiconductor; Autonomous Vehicles; power management,https://zero-errorsystems.com/,
Threatspan Pte Ltd,2019,,Pre-seed,Infotech,,,
Aeras Medical Holdings Pte Ltd,2018,,Pre-seed,Medtech; Healthcare,,https://www.aerasmedical.com/,based on internet checks
ISIXI Pte Ltd,2017,,Pre-seed,IoT; Data Analysis,,,no webpage found
Nuevocor Pte Ltd,2020,,Pre-seed,Biotech,,https://www.nuevocor.com/,based on internet checks
Pathnova Laboratories Pte. Ltd.,2017,,Pre-seed,Healthcare; Data Analysis,,,
Lucence Life Sciences Pte Ltd,2018,,Pre-seed,Biotech; Healthcare,,,
Codefolio Pte Ltd,2019,,Pre-seed,Education,,,
CONFETTI FINE FOODS PRIVATE LIMITED,2018,,Pre-seed,Food & Beverage,,https://www.confettisnacks.com/,based on internet checks
SIXIDES ADVERTISING PTE. LTD.,2021,1 - 10,Pre-seed,Media; AI; Real Estate; SaaS,AI; SaaS; Social Media; Digital Marketing; Consumer & Marketing Analytics; interior design; renovation platform; Customer Relationship Management,https://sixides.com,
DOO CAPITAL MARKET SG PTE. LTD.,2020,1 - 10,Pre-seed,E-Commerce; Fintech,Capital Markets Services (CMS) Licence,https://www.doogroup.com/,
WORKCLASS PTE. LTD.,2019,11 - 50,Pre-seed,Enterprise Solutions; SaaS,Human Resources,https://workclass.co/,
BETTER URBAN FARMS PTE. LTD.,2021,1 - 10,Pre-seed,Food Science and Technology; Agritech; Manufacturing & Engineering; Food Manufacturing & Processing,Precision Agriculture; Controlled Environment Agriculture; Agritech Technology; Manufacturing Engineering,,no webpage found
TRUMP COLLECTIBLES PRIVATE LIMITED,2022,1 - 10,Pre-seed,E-Commerce; Entertainment; Big Data,collectibles; trading cards; Game,https://www.trumpcards.app,
BILIMBER PTE. LTD.,2020,1 - 10,Pre-seed,Education; AI,E-Learning; Gamification; Learning Platform,https://bilimber.co/,
ANTS INNOVATE PTE. LTD.,2020,1 - 10,Seed,Food Science and Technology; Agritech; Biotech,Alternative Protein,https://www.antsinnovate.com/,
DYSON SPHERE NEW ENERGY PTE. LTD.,2021,1 - 10,Pre-seed,Urban Solutions; Cleantech,"Renewable Energy; Greentech,; Energy Storage; Waste Management; Recycling",https://www.dysonsphere.com.sg/,
ASIA FOLKS PTE. LTD.,2021,1 - 10,Pre-seed,Media; Events; Lifestyle; Others,Social Media; Digital Marketing; Video Streaming; MICE; Planning & Design,https://www.theasiafolks.com,
AIRUDDER PTE. LTD.,2021,101 - 200,Series B,AI; SaaS,voice ai; voice assistants; voice bots; Customer Experience; call center solutions,https://www.airudder.com/,
FUTURE STEPS PTE. LTD.,2020,1 - 10,Pre-seed,Education,Edtech; E-Learning; Gamification; Learning Platform,https://www.futuresteps.com.sg,
FINGENESIS QUANTS PTE. LTD.,2018,11 - 50,Seed,AI; Fintech,Investing; Risk Management; Trading; Cryptocurrency,http://www.simonmarineservices.com.sg/,
SYNAPTIC DELVER PTE. LTD.,2022,1 - 10,Pre-seed,Biotech; AI; Healthcare; Big Data; Robotics,Neurotechnology; Neurorobotics; Brain Computer Interfacing; Neuroimaging; DeepTech; AI; ML; Mental Health Devices,https://synapticdelver.com/,
AIRWALLEX (SINGAPORE) PTE. LTD.,2016,Above 200,Pre-seed,Fintech; Enterprise Solutions; SaaS,Payment Systems; FinTech; neobank; Digital banking; Payments; infrastructure,https://www.airwallex.com/sg,
NOUSQ PTE. LTD.,2018,1 - 10,Pre-series A,Medtech; Precision Engineering; Healthcare; Robotics,Medical devices,https://www.nousq.com/,
NESTED TECHNOLOGIES PTE. LTD.,2020,,Pre-seed,,,https://www.nested.ai,
SUVACA TECHNOLOGIES PTE. LTD.,2020,1 - 10,Pre-seed,Semiconductor; Industrial Electronics; Hardware,Electronic Component Distribution and Hardware Design Services,http://www.suvaca.com,
FABRICA ROBOTICS PTE. LTD.,2022,1 - 10,Pre-seed,AI; Hardware; Robotics,Robotics; Hardware; AI,https://www.fabrica.ai,
XENSAI PTE. LTD.,2021,,Pre-seed,,,https://xensai.com/,
ALTENT RENEWABLES PTE. LTD.,2022,1 - 10,Pre-seed,Cleantech,Waste Technology; Renewable Energy,https://altentrenewables.com/,
HomeMatch.sg,2022,1 - 10,Series B,Others,Home & Living,https://homematch.sg,
neubie.co,2020,1 - 10,Pre-seed,E-Commerce; Supply Chain & Logistics,E-Commerce; Cloud; Cloud-Warehousing; Entrepreneurship; Business Solutions,https://neubie.co,
CHOYS TECHNOLOGIES PTE. LTD.,2022,1 - 10,Seed,Fintech; SaaS,Insurtech; Human Resources; Data Warehouse,https://getchoys.com/,
KABAM Robotics,2018,11 - 50,Pre-seed,AI; Enterprise Solutions; SaaS; Robotics,Robotics; Security; Facilities Management; surveillance,https://kabam.ai,
PEAKFLO PTE. LTD.,2020,11 - 50,Seed,Fintech; SaaS,SaaS; Payment Systems,https://peakflo.co,
WINOVUS PTE. LTD.,2019,11 - 50,Pre-seed,Precision Engineering; Medtech; Manufacturing & Engineering; Nanotechnology; AR/VR,Optics & Photonics; Surface Coating; Semiconductor,https://www.winovus.com.sg/,
SAUWAT.EDUCATION PRIVATE LIMITED,2020,,Pre-seed,,,https://sauwat.education/,
WHYRE TECHNOLOGIES PTE. LTD.,2020,1 - 10,Pre-seed,Precision Engineering; AI; Enterprise Solutions; Manufacturing & Engineering; IoT,Systems Development; Machinery & Systems; Electric Vehicles,https://www.whyretech.com/,
INVENTIO INNOVATIONS PTE. LTD.,2022,1 - 10,Pre-seed,Manufacturing & Engineering; Others,Engineering; Invention; Product Development; Manufacturing,http://inventio.sg,
POLICYDOCK TECHNOLOGIES PTE. LTD.,2020,1 - 10,Pre-seed,Fintech; Enterprise Solutions; Infocomm Tech; Blockchain; SaaS,Insurtech; Big Data,https://www.policydock.com,
SPEDGROW PTE. LTD.,2022,1 - 10,Pre-seed,Education,"Disabilities, special needs; inclusion; Edtech",https://www.spedgrow.org/,
KINN INNOVATIONS PTE. LTD.,2022,1 - 10,Pre-seed,Medtech; Digital Health; AI; SaaS; Big Data,veterinary; SaaS; Data Warehouse; Data Analysis; Cloud; Animal Welfare ;  Medical EHR; Clinic Management ; Patient Management; Disease Management,http://www.nextofkinn.com,
BLUENEST PTE. LTD.,2019,,Pre-seed,,,https://www.bluenest.sg/,
YouTrip,2016,,Pre-seed,Fintech,,https://www.you.co/sg,based on internet checks
Pace Enterprise Pte Ltd,2020,,Pre-seed,Fintech; Infocomm Tech,,https://pacenow.co,based on internet checks
Growthwell Group,2017,,Pre-seed,Food & Beverage,,https://growthwellfoods.com,based on internet checks
METALOOP INNOVATION LABS PTE. LTD.,2018,,Pre-seed,Fintech; Infocomm Tech,,,
NEUROGLEE THERAPEUTICS PTE. LTD.,2020,,Pre-seed,Biotech,,,
JENFI PTE. LTD.,2019,,Series B,Fintech; SaaS; Data Analysis,,https://jenfi.com/,based on internet checks
DIGITAL RISK DEVELOPMENT PTE. LTD.,2019,,Pre-seed,Fintech; Blockchain,,,no webpage found
SPARROW TECH PRIVATE LIMITED,2018,,Pre-seed,Fintech; Blockchain,,,
GOFX PLATFORM TECHNOLOGIES PTE. LTD.,2021,,Pre-seed,Infotech; Blockchain,,,no webpage found
INKR GLOBAL PTE. LTD.,2019,,Pre-seed,Media; Infocomm Tech,,https://inkr.com,based on internet checks
FEFIFO PTE. LTD.,2019,11 - 50,Pre-seed,Agritech; Fintech; Urban Solutions; Food Manufacturing & Processing; IoT,cofarming; Agtech; smallholder farmers; agropreneurs; contract farming; digital agriculture; Precision Agriculture,https://www.fefifo.co/,
CYBAVO PTE. LTD.,2018,,Pre-seed,Infotech; Fintech; Blockchain,,,no webpage found
DRIVE LAH VENTURES HOLDING PTE. LTD.,2019,51 - 100,Pre-seed,Transport; Travel & Hospitality; Urban Solutions; IoT,sharedmoblity; carsharing; Car Subscription; smartcities; urbanmobility,http://www.drivelah.sg,
VEREMARK PTE. LTD.,2020,,Pre-seed,Infotech; Others; Big Data,,,
CREATIVE GALILEO PTE. LTD.,2019,,Pre-seed,Education,,,
TIFFINLABS PTE. LTD.,2020,,Pre-seed,E-Commerce; Food & Beverage,,,
DEDOCO PTE. LTD.,2020,,Pre-seed,Blockchain; SaaS,,https://www.dedoco.com,based on internet checks
DURIANPAY PTE. LTD.,2020,51 - 100,Seed,Fintech; SaaS,Payment Systems,https://durianpay.id/,
FAIRBANC PTE. LTD.,2019,,Pre-seed,E-Commerce; Fintech,,https://fairbanc.app,based on internet checks
STOWFLOW PTE. LTD.,2019,,Pre-seed,Education; AI,,,
TERRAVIEW PTE. LTD.,2019,,Pre-seed,Aerospace; Industrial Electronics; Consumer Electronics,,,
EMET TECHNOLOGIES PTE. LTD.,2019,,Pre-seed,Blockchain; Data Analysis,,,no webpage found
Fefifo,2017,,Pre-seed,Agritech,,,
Butleric PTE. LTD.,2018,,Pre-seed,AI; Enterprise Solutions; Data Analysis,,,
Carer PTE. LTD.,2018,1 - 10,Pre-seed,Healthcare Services; Digital Health; Healthcare,Intermediate and Long Term Care,https://www.carer.com.sg/,
Lumani PTE. LTD.,2017,,Pre-seed,AI; Urban Solutions; Data Analysis,,http://www.lumazones.com/,based on internet checks
CytoMed Therapeutics Pte Ltd,2018,1 - 10,Pre-series A,Biotech,biotech; car-t; gdtc; ipsc; msc; cancer immunotherapy,https://www.cytomed.sg/,
SOYNERGY PTE. LTD.,2019,1 - 10,Pre-seed,Food Science and Technology; Biotech,food biotechnology,https://www.soynergy.com/,
Pulsifi pte LTD,2016,,Pre-seed,AI; SaaS,,,
INSEACT PTE. LTD.,2019,,Pre-seed,Biotech; Agritech; Urban Solutions,,https://inseact.com,based on internet checks
SGRECYCLE PTE. LTD.,2021,,Pre-seed,Urban Solutions,,https://sgrecycle.com/,based on internet checks
MHC ASIA GROUP PTE. LTD.,2018,,Pre-seed,Enterprise Solutions; Healthcare; Data Analysis,,https://mhcasia.com/,based on internet checks
BRIOHR PTE. LTD.,2018,,Pre-seed,Infotech; Enterprise Solutions; SaaS,,https://briohr.com,based on internet checks
JAMBOX GAMES PTE. LTD.,2020,,Pre-seed,Gaming; Data Analysis,,https://jambox.games,based on internet checks
CLIMATE+ PTE. LTD.,2022,1 - 10,Pre-seed,Infotech; AI; Fintech; SaaS; Data Analysis,Investing; Sustainability; Impact; Eco Monitoring Technologies; Data Analysis; Climate Change; SDGs; Circular Economy; Carbon; FinTech,https://www.cplusglobal.com,
ALMOND FINTECH PTE. LTD.,2021,11 - 50,Pre-seed,Fintech,Cryptocurrency,https://almondfintech.com/,
RAILPAYS (SINGAPORE) PTE. LTD.,2022,1 - 10,Pre-seed,Fintech,Payment Systems,http://www.railpays.com,
VIRSPATIAL TECHNOLOGIES PTE. LTD.,2020,51 - 100,Pre-seed,Enterprise Solutions; Infocomm Tech; Urban Solutions; IoT; AR/VR,Data Warehouse; Inventory Management; Enterprise Metaverse; digital twin ,https://www.virspatial.com/,
ATTA SYSTEMS PTE. LTD.,2021,1 - 10,Pre-seed,Medtech; Education; Digital Health; Healthcare; Data Analysis,E-Learning; Telemedicine; Digitised Health Systems; Health Analytics; Mobile Health; Learning Platform,https://www.atta.systems,
NEU Battery Materials,2021,,Pre-seed,,,https://www.neumaterials.com/,
VOLTALITY PTE. LTD.,2022,1 - 10,Pre-seed,Transport; Fintech; Enterprise Solutions; IoT; SaaS,Payment Systems; Electric Vehicles,https://www.voltality.io,
AILIVERSE PTE. LTD.,2022,1 - 10,Pre-seed,AI,#nocodeai #10Xfaster #only10%trainingdata needed; #noaiexpert,https://www.ailiverse.com/,
JOY TECHNOLOGIES PTE. LTD.,2021,11 - 50,Pre-seed,Retail; E-Commerce; Lifestyle; Others,E-Commerce; Consumer Goods,https://joybox.co.id/,
GOTSURGE PTE. LTD.,2021,11 - 50,Pre-seed,Supply Chain & Logistics,Maritime; Marine; logistics; ports; Shipping ; Electric Vehicles,https://gotsurge.co/,
YSK INNOVATION TECHNOLOGY PTE. LTD.,2022,1 - 10,Pre-seed,Biotech,biotech,http://www.njyspharma.com/,
HIVEBOTICS PTE. LTD.,2022,1 - 10,Pre-seed,Robotics,Robotics; Cleaning Technology; Toilet Cleaning,https://hivebotics.tech,
BETTAMINT TECHNOLOGIES PTE. LTD.,2022,1 - 10,Pre-seed,Real Estate; Others,On demand staffing; Construction; marketplace,https://www.bettamint.com,
Dynameat,2021,,Pre-seed,,,http://www.thedynameat.com/,
Sierra Research,2021,1 - 10,Pre-seed,Fintech; Enterprise Solutions,research and development; Systems Development,https://sierra.team/,
HERON TECHNOLOGY PTE. LTD.,2017,11 - 50,Pre-seed,Aerospace; Infotech; Urban Solutions,Drones; Aviation; Cyber Security,https://www.heron-technology.com,
PROPERTYSHOW PTE. LTD.,2018,1 - 10,Pre-seed,E-Commerce; Real Estate; Lifestyle; Big Data,Investing; Home & Living; Personal Finance; proptech,http://propertyshow.com,
WASTEX PTE. LTD.,2022,1 - 10,Pre-seed,Agritech,Waste Technology; Waste Management; Waste ,https://www.wastex.io/,
BETR BETA PTE. LTD.,2022,1 - 10,Pre-seed,Transport; IoT; SaaS; Data Analysis; Robotics,Autonomous Vehicles; edge computing; Software Security; Digital Transformation; CISO,https://www.betrbeta.com,
OAK TECH PTE. LTD.,2021,1 - 10,Pre-seed,Media; AI; Entertainment; Blockchain; Hardware,NFT; Metahuman; Blockchain; Web3.0; metaverse,https://www.oaktech.com.sg,
CIVILS.AI PTE. LTD.,2022,1 - 10,Pre-seed,Manufacturing & Engineering; SaaS,constructiontech; SaaS; AI; data,https://civils.ai/,
Tiger Brokers,2018,,Pre-seed,,,https://www.tigerbrokers.com.sg/,
CONSUMER DRIVEN INNOVATION PTE. LTD.,2022,1 - 10,Pre-seed,Food Science and Technology,Food Packaging; Product Development; sensory; market research ; Training; workshop; food science; food innovation; food solution; flavour,http://innovation.com.sg,
PAND.AI PTE. LTD. ,2016,,Pre-seed,,,https://www.pand.ai/,
Hugosave,2019,,Pre-seed,,,https://www.hugosave.com/,
CYLYNX PTE. LTD. ,2019,,Pre-seed,,,https://www.cylynx.io/,
ULTIMEAT INTERNATIONAL PTE. LTD.,2022,11 - 50,Pre-seed,Food Science and Technology; Biotech; Food Manufacturing & Processing,Innovation in Food to save mankind and our earth! Healthy Food Substitution.,http://ultimeat.com,
VUE REALITY LABS PTE. LTD.,2021,,Pre-seed,,,,
THE BIOLABS PTE. LTD.,2020,,Pre-seed,,,,no webpage found
EDUFIED PTE. LTD.,2018,,Pre-seed,,,http://edufied.network,
MOON TECHNOLOGIES PTE. LTD.,2018,,Pre-seed,,,https://www.moontechnologies.com/,based on internet checks
LUCERA PHOTONLABS PTE. LTD.,2018,,Pre-seed,,,https://luceraphoton.com,based on internet checks
UNIQLOGICS PTE. LTD.,2017,,Pre-seed,,,,no webpage found
VALERIO PRIVATE LIMITED,2018,,Pre-seed,,,,
SCOTIA SG GLOBAL PTE. LTD.,2017,,Pre-seed,,,,no webpage found
CHERYL LAU SURGICAL CONSULTANCY PTE. LTD.,2019,,Pre-seed,,,,
SPECO SINGAPORE PTE. LTD.,2017,,Pre-seed,,,,
VERY KIASU FOODIES PTE. LTD.,2019,,Pre-seed,,,https://www.kiasufoodies.com/,based on internet checks
VERACITY AI PTE. LTD.,2019,,Pre-seed,,,https://veracitytrustnetwork.com/,based on internet checks
WORKULTURE PTE. LTD.,2019,,Pre-seed,,,,no webpage found
ASA TECH PTE. LTD.,2017,,Pre-seed,,,,
THE BOND ANALYST PTE. LTD.,2020,,Pre-seed,,,,
GRADUATE INVESTMENT PRIVATE LIMITED,2019,,Pre-seed,,,,
TUTOROO PTE. LTD.,2017,,Pre-seed,,,,
OH MY GOODNESS! PTE. LTD.,2017,,Pre-seed,,,,no webpage found
OMNI SHARING PTE. LTD.,2018,,Pre-seed,,,https://www.the0mn1.com,based on internet checks
CHEKTEC PTE. LTD.,2018,,Pre-seed,,,https://chektec.com/,based on internet checks
STAKE TECHNOLOGIES PTE. LTD.,2020,,Pre-seed,,,,
AGROS PTE. LTD.,2019,,Pre-seed,,,,no webpage found
HR EASILY PTE. LTD.,2017,,Pre-seed,,,,
GROUP8 CYBER PTE. LTD.,2018,,Pre-seed,,,https://www.group8.co/,based on internet checks
TYRON PUNGTAS PTE. LTD.,2021,,Pre-seed,,,https://www.tyron.io,based on internet checks
NEW ECON HOLDINGS PTE. LTD.,2017,,Pre-seed,,,https://newecon.sg/,based on internet checks
NUFIN DATA PTE. LTD.,2017,,Pre-seed,,,https://www.nufindata.com/,based on internet checks
SENSORFLOW PTE. LTD.,2016,,Pre-seed,,,https://www.sensorflow.co/,based on internet checks
D'OATH CORPORATE ADVISORY PTE. LTD.,2018,,Pre-seed,,,,
CAPBRIDGE FINANCIAL PTE. LTD.,2017,,Pre-seed,,,https://www.capbridge.sg,based on internet checks
OMMRA PTE. LTD.,2018,,Pre-seed,,,,no webpage found
BATTLEBREW PRODUCTIONS PRIVATE LIMITED,2017,,Pre-seed,,,https://www.battle-brew.com,based on internet checks
THINTUIT PTE. LTD.,2022,1 - 10,Pre-seed,AI; Urban Solutions; Cleantech; Blockchain; Robotics,deep learning; Sensor Fusion ; Waste Technology; Recycling; Reverse Vending Machine; Robot as a Service; Urban Infrastructure; Consumer & Marketing Analytics; Crowdsourcing,https://www.thintuit.com,
KOMISI TECHNOLOGIES PTE. LTD.,2021,11 - 50,Pre-seed,,,https://elevate.so,
GOOD WORK PTE. LTD.,2021,1 - 10,Pre-seed,Media; IoT; SaaS; AR/VR,"javascript, webar, web3d, webgl, platform, product, tech, digital",https://goodwork.sg,
A42 PTE. LTD.,2021,1 - 10,Pre-seed,Blockchain; IoT; SaaS,IoT; Authentication/Authorization; Blockchain,https://scrapbox.io/a42/,
Ticketer,2022,1 - 10,Pre-seed,E-Commerce; Events; Entertainment; Lifestyle; SaaS,SaaS; Lifestyle; Ticketing; events; Blockchain; NFT; web3,https://www.ticketer.sg,
BINACLE PTE. LTD.,2021,1 - 10,Pre-seed,Gaming; Entertainment,Gamification; video games; Mobile Games; Gaming; music,https://www.binacle.games/,
CRUX FOR X PTE. LTD.,2018,1 - 10,Pre-seed,Data Analysis; Big Data,Data Analysis; Data Warehouse; Big Data; Consumer & Marketing Analytics,https://cruxdata.co/,
CIRCONOMY PTE. LTD.,2022,1 - 10,Pre-seed,Agritech; AI; Cleantech,Waste Management; Emission Control; Waste Technology; Pollution Control; Smart Farming; Soil Technology; Cleaning Technology; Organic Farming,https://www.circonomy.co,
PLUTUS TECH PTE. LTD.,2021,1 - 10,Pre-seed,Travel & Hospitality,"travel, travel planning, travel guide",https://travelcliper.com,
T3 HEALTH PTE. LTD.,2018,,Pre-seed,,,https://novi-health.com/,
SMOTO PTE. LTD.,2020,11 - 50,Pre-seed,Transport; Urban Solutions; Manufacturing & Engineering,Electric Vehicles,https://www.smoto.sg,
INVUITE PTE. LTD.,2017,,Pre-seed,,,https://invuite.com/,based on internet checks
AIBC PTE. LTD.,2018,,Pre-seed,,,,
AVENEVV PTE. LTD.,2018,,Pre-seed,,,https://www.avenevv.com,based on internet checks
